zip,city,state,county,timezone
00601,Adjuntas,Puerto Rico,Adjuntas,America/Puerto_Rico
00602,Aguada,Puerto Rico,Aguada,America/Puerto_Rico
00603,Aguadilla,Puerto Rico,Aguadilla,America/Puerto_Rico
00606,Maricao,Puerto Rico,Maricao,America/Puerto_Rico
00610,Anasco,Puerto Rico,Aasco,America/Puerto_Rico
00611,Angeles,Puerto Rico,Utuado,America/Puerto_Rico
00612,Arecibo,Puerto Rico,Arecibo,America/Puerto_Rico
00616,Bajadero,Puerto Rico,Arecibo,America/Puerto_Rico
00617,Barceloneta,Puerto Rico,Barceloneta,America/Puerto_Rico
00622,Boqueron,Puerto Rico,Cabo Rojo,America/Puerto_Rico
00623,Cabo Rojo,Puerto Rico,Cabo Rojo,America/Puerto_Rico
00624,Penuelas,Puerto Rico,Peuelas,America/Puerto_Rico
00627,Camuy,Puerto Rico,Camuy,America/Puerto_Rico
00631,Castaner,Puerto Rico,Lares,America/Puerto_Rico
00636,Rosario,Puerto Rico,San Germn,America/Puerto_Rico
00637,Sabana Grande,Puerto Rico,Sabana Grande,America/Puerto_Rico
00638,Ciales,Puerto Rico,Ciales,America/Puerto_Rico
00641,Utuado,Puerto Rico,Utuado,America/Puerto_Rico
00646,Dorado,Puerto Rico,Dorado,America/Puerto_Rico
00647,Ensenada,Puerto Rico,Gunica,America/Puerto_Rico
00650,Florida,Puerto Rico,Florida,America/Puerto_Rico
00652,Garrochales,Puerto Rico,Arecibo,America/Puerto_Rico
00653,Guanica,Puerto Rico,Gunica,America/Puerto_Rico
00656,Guayanilla,Puerto Rico,Guayanilla,America/Puerto_Rico
00659,Hatillo,Puerto Rico,Hatillo,America/Puerto_Rico
00660,Hormigueros,Puerto Rico,Hormigueros,America/Puerto_Rico
00662,Isabela,Puerto Rico,Isabela,America/Puerto_Rico
00664,Jayuya,Puerto Rico,Jayuya,America/Puerto_Rico
00667,Lajas,Puerto Rico,Lajas,America/Puerto_Rico
00669,Lares,Puerto Rico,Lares,America/Puerto_Rico
00670,Las Marias,Puerto Rico,Las Maras,America/Puerto_Rico
00674,Manati,Puerto Rico,Manat,America/Puerto_Rico
00676,Moca,Puerto Rico,Moca,America/Puerto_Rico
00677,Rincon,Puerto Rico,Rincn,America/Puerto_Rico
00678,Quebradillas,Puerto Rico,Quebradillas,America/Puerto_Rico
00680,Mayaguez,Puerto Rico,Mayagez,America/Puerto_Rico
00682,Mayaguez,Puerto Rico,Mayagez,America/Puerto_Rico
00683,San German,Puerto Rico,San Germn,America/Puerto_Rico
00685,San Sebastian,Puerto Rico,San Sebastin,America/Puerto_Rico
00687,Morovis,Puerto Rico,Morovis,America/Puerto_Rico
00688,Sabana Hoyos,Puerto Rico,Arecibo,America/Puerto_Rico
00690,San Antonio,Puerto Rico,Aguadilla,America/Puerto_Rico
00692,Vega Alta,Puerto Rico,Vega Alta,America/Puerto_Rico
00693,Vega Baja,Puerto Rico,Vega Baja,America/Puerto_Rico
00694,Vega Baja,Puerto Rico,Vega Baja,America/Puerto_Rico
00698,Yauco,Puerto Rico,Yauco,America/Puerto_Rico
00703,Aguas Buenas,Puerto Rico,Aguas Buenas,America/Puerto_Rico
00704,Aguirre,Puerto Rico,Salinas,America/Puerto_Rico
00705,Aibonito,Puerto Rico,Aibonito,America/Puerto_Rico
00707,Maunabo,Puerto Rico,Maunabo,America/Puerto_Rico
00714,Arroyo,Puerto Rico,Arroyo,America/Puerto_Rico
00715,Mercedita,Puerto Rico,Ponce,America/Puerto_Rico
00716,Ponce,Puerto Rico,Ponce,America/Puerto_Rico
00717,Ponce,Puerto Rico,Ponce,America/Puerto_Rico
00718,Naguabo,Puerto Rico,Naguabo,America/Puerto_Rico
00719,Naranjito,Puerto Rico,Naranjito,America/Puerto_Rico
00720,Orocovis,Puerto Rico,Orocovis,America/Puerto_Rico
00723,Patillas,Puerto Rico,Patillas,America/Puerto_Rico
00725,Caguas,Puerto Rico,Caguas,America/Puerto_Rico
00727,Caguas,Puerto Rico,Caguas,America/Puerto_Rico
00728,Ponce,Puerto Rico,Ponce,America/Puerto_Rico
00729,Canovanas,Puerto Rico,Canvanas,America/Puerto_Rico
00730,Ponce,Puerto Rico,Ponce,America/Puerto_Rico
00731,Ponce,Puerto Rico,Ponce,America/Puerto_Rico
00735,Ceiba,Puerto Rico,Ceiba,America/Puerto_Rico
00736,Cayey,Puerto Rico,Cayey,America/Puerto_Rico
00738,Fajardo,Puerto Rico,Fajardo,America/Puerto_Rico
00739,Cidra,Puerto Rico,Cidra,America/Puerto_Rico
00740,Puerto Real,Puerto Rico,Fajardo,America/Puerto_Rico
00741,Punta Santiago,Puerto Rico,Humacao,America/Puerto_Rico
00745,Rio Grande,Puerto Rico,Ro Grande,America/Puerto_Rico
00751,Salinas,Puerto Rico,Salinas,America/Puerto_Rico
00754,San Lorenzo,Puerto Rico,San Lorenzo,America/Puerto_Rico
00757,Santa Isabel,Puerto Rico,Santa Isabel,America/Puerto_Rico
00765,Vieques,Puerto Rico,Vieques,America/Puerto_Rico
00766,Villalba,Puerto Rico,Villalba,America/Puerto_Rico
00767,Yabucoa,Puerto Rico,Yabucoa,America/Puerto_Rico
00769,Coamo,Puerto Rico,Coamo,America/Puerto_Rico
00771,Las Piedras,Puerto Rico,Las Piedras,America/Puerto_Rico
00772,Loiza,Puerto Rico,Loza,America/Puerto_Rico
00773,Luquillo,Puerto Rico,Luquillo,America/Puerto_Rico
00775,Culebra,Puerto Rico,Culebra,America/Puerto_Rico
00777,Juncos,Puerto Rico,Juncos,America/Puerto_Rico
00778,Gurabo,Puerto Rico,Gurabo,America/Puerto_Rico
00780,Coto Laurel,Puerto Rico,Ponce,America/Puerto_Rico
00782,Comerio,Puerto Rico,Comero,America/Puerto_Rico
00783,Corozal,Puerto Rico,Corozal,America/Puerto_Rico
00784,Guayama,Puerto Rico,Guayama,America/Puerto_Rico
00786,La Plata,Puerto Rico,Aibonito,America/Puerto_Rico
00791,Humacao,Puerto Rico,Humacao,America/Puerto_Rico
00794,Barranquitas,Puerto Rico,Barranquitas,America/Puerto_Rico
00795,Juana Diaz,Puerto Rico,Juana Daz,America/Puerto_Rico
00802,St Thomas,Virgin Islands,St. Thomas,America/St_Thomas
00820,Christiansted,Virgin Islands,St. Croix,America/St_Thomas
00830,St John,Virgin Islands,St. John,America/St_Thomas
00840,Frederiksted,Virgin Islands,St. Croix,America/St_Thomas
00850,Kingshill,Virgin Islands,St. Croix,America/St_Thomas
00851,Kingshill,Virgin Islands,St. Croix,America/St_Thomas
00901,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00906,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00907,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00909,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00911,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00912,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00913,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00915,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00917,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00918,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00920,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00921,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00923,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00924,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00925,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00926,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00927,San Juan,Puerto Rico,San Juan,America/Puerto_Rico
00934,Fort Buchanan,Puerto Rico,Guaynabo,America/Puerto_Rico
00949,Toa Baja,Puerto Rico,Toa Baja,America/Puerto_Rico
00950,Toa Baja,Puerto Rico,Dorado,America/Puerto_Rico
00951,Toa Baja,Puerto Rico,Toa Baja,America/Puerto_Rico
00952,Sabana Seca,Puerto Rico,Toa Baja,America/Puerto_Rico
00953,Toa Alta,Puerto Rico,Toa Alta,America/Puerto_Rico
00956,Bayamon,Puerto Rico,Bayamn,America/Puerto_Rico
00957,Bayamon,Puerto Rico,Bayamn,America/Puerto_Rico
00959,Bayamon,Puerto Rico,Bayamn,America/Puerto_Rico
00960,Bayamon,Puerto Rico,Bayamn,America/Puerto_Rico
00961,Bayamon,Puerto Rico,Bayamn,America/Puerto_Rico
00962,Catano,Puerto Rico,Catao,America/Puerto_Rico
00965,Guaynabo,Puerto Rico,Guaynabo,America/Puerto_Rico
00966,Guaynabo,Puerto Rico,Guaynabo,America/Puerto_Rico
00968,Guaynabo,Puerto Rico,Guaynabo,America/Puerto_Rico
00969,Guaynabo,Puerto Rico,Guaynabo,America/Puerto_Rico
00971,Guaynabo,Puerto Rico,Guaynabo,America/Puerto_Rico
00976,Trujillo Alto,Puerto Rico,Trujillo Alto,America/Puerto_Rico
00979,Carolina,Puerto Rico,Carolina,America/Puerto_Rico
00982,Carolina,Puerto Rico,Carolina,America/Puerto_Rico
00983,Carolina,Puerto Rico,Carolina,America/Puerto_Rico
00985,Carolina,Puerto Rico,Carolina,America/Puerto_Rico
00987,Carolina,Puerto Rico,Carolina,America/Puerto_Rico
01001,Agawam,Massachusetts,Hampden,America/New_York
01002,Amherst,Massachusetts,Hampshire,America/New_York
01003,Amherst,Massachusetts,Hampshire,America/New_York
01005,Barre,Massachusetts,Worcester,America/New_York
01007,Belchertown,Massachusetts,Hampshire,America/New_York
01008,Blandford,Massachusetts,Hampden,America/New_York
01009,Bondsville,Massachusetts,Hampden,America/New_York
01010,Brimfield,Massachusetts,Hampden,America/New_York
01011,Chester,Massachusetts,Hampden,America/New_York
01012,Chesterfield,Massachusetts,Hampshire,America/New_York
01013,Chicopee,Massachusetts,Hampden,America/New_York
01020,Chicopee,Massachusetts,Hampden,America/New_York
01022,Chicopee,Massachusetts,Hampden,America/New_York
01026,Cummington,Massachusetts,Hampshire,America/New_York
01027,Easthampton,Massachusetts,Hampshire,America/New_York
01028,East Longmeadow,Massachusetts,Hampden,America/New_York
01029,East Otis,Massachusetts,Berkshire,America/New_York
01030,Feeding Hills,Massachusetts,Hampden,America/New_York
01031,Gilbertville,Massachusetts,Worcester,America/New_York
01032,Goshen,Massachusetts,Hampshire,America/New_York
01033,Granby,Massachusetts,Hampshire,America/New_York
01034,Granville,Massachusetts,Hampden,America/New_York
01035,Hadley,Massachusetts,Hampshire,America/New_York
01036,Hampden,Massachusetts,Hampden,America/New_York
01037,Hardwick,Massachusetts,Worcester,America/New_York
01038,Hatfield,Massachusetts,Hampshire,America/New_York
01039,Haydenville,Massachusetts,Hampshire,America/New_York
01040,Holyoke,Massachusetts,Hampden,America/New_York
01050,Huntington,Massachusetts,Hampshire,America/New_York
01053,Leeds,Massachusetts,Hampshire,America/New_York
01054,Leverett,Massachusetts,Franklin,America/New_York
01056,Ludlow,Massachusetts,Hampden,America/New_York
01057,Monson,Massachusetts,Hampden,America/New_York
